"AI","Southern Africa","BM",1/29/2007 0:00:00
"AP","Portuguese Africa","BM",1/29/2007 0:00:00
"AW","Anglophone West Africa","BM",1/29/2007 0:00:00
"EA","East Africa","BM",1/29/2007 0:00:00
"EH","Horn of Africa","BM",1/29/2007 0:00:00
"FC","Francophone Central Africa","BM",1/29/2007 0:00:00
"FW","Francophone West Africa","BM",1/29/2007 0:00:00
"IE","Indian Ocean","BM",1/29/2007 0:00:00
"NA","North Africa","BM",1/30/2007 0:00:00
