"ROL4","AlternateDialectName","Source","EditName","EditDate"
601,"Wom","GRN / ROD","BM",4/1/2010 0:00:00
601,"Wom 1","GRN / ROD","BM",4/1/2010 0:00:00
601,"Wom 2","GRN / ROD","BM",4/1/2010 0:00:00
606,"Musa","GRN / ROD","BM",4/1/2010 0:00:00
606,"Ulawa Sina","GRN / ROD","BM",4/1/2010 0:00:00
611,"Daga","GRN / ROD","BM",4/1/2010 0:00:00
613,"Wawa","GRN / ROD","BM",4/1/2010 0:00:00
614,"Brumer","GRN / ROD","BM",4/1/2010 0:00:00
614,"Iloilo","GRN / ROD","BM",4/1/2010 0:00:00
614,"Logea","GRN / ROD","BM",4/1/2010 0:00:00
614,"Saha","GRN / ROD","BM",4/1/2010 0:00:00
614,"Sariba","GRN / ROD","BM",4/1/2010 0:00:00
614,"Sinaki","GRN / ROD","BM",4/1/2010 0:00:00
614,"Suau","GRN / ROD","BM",4/1/2010 0:00:00
616,"Ami","GRN / ROD","BM",4/1/2010 0:00:00
616,"Dausuami","GRN / ROD","BM",4/1/2010 0:00:00
616,"Mahigi","GRN / ROD","BM",4/1/2010 0:00:00
618,"Santar","GRN / ROD","BM",4/1/2010 0:00:00
621,"Bonggu","GRN / ROD","BM",4/1/2010 0:00:00
621,"Bongu","GRN / ROD","BM",4/1/2010 0:00:00
622,"Mbore","GRN / ROD","BM",4/1/2010 0:00:00
628,"Rouku","GRN / ROD","BM",4/1/2010 0:00:00
628,"West Morehead","GRN / ROD","BM",4/1/2010 0:00:00
628,"West Moreland Group","GRN / ROD","BM",4/1/2010 0:00:00
629,"Era","GRN / ROD","BM",4/1/2010 0:00:00
629,"Kiwai, Northeastern","GRN / ROD","BM",4/1/2010 0:00:00
630,"Kilmera","GRN / ROD","BM",4/1/2010 0:00:00
633,"Akamar","GRN / ROD","BM",4/1/2010 0:00:00
633,"Ekemer (nen)","GRN / ROD","BM",4/1/2010 0:00:00
633,"Kerakie","GRN / ROD","BM",4/1/2010 0:00:00
633,"Nambo","GRN / ROD","BM",4/1/2010 0:00:00
633,"Nemeyam","GRN / ROD","BM",4/1/2010 0:00:00
633,"Patzun","GRN / ROD","BM",4/1/2010 0:00:00
633,"Yarne","GRN / ROD","BM",4/1/2010 0:00:00
635,"Koiali, Mountain","GRN / ROD","BM",4/1/2010 0:00:00
637,"Buji","GRN / ROD","BM",4/1/2010 0:00:00
639,"Dibiaso","GRN / ROD","BM",4/1/2010 0:00:00
640,"Zia","GRN / ROD","BM",4/1/2010 0:00:00
641,"Coast Kiwai","GRN / ROD","BM",4/1/2010 0:00:00
643,"Apanepi","GRN / ROD","BM",4/1/2010 0:00:00
644,"Apos","GRN / ROD","BM",4/1/2010 0:00:00
644,"Apos & Yubanakor","GRN / ROD","BM",4/1/2010 0:00:00
644,"Arkosame","GRN / ROD","BM",4/1/2010 0:00:00
644,"Daina","GRN / ROD","BM",4/1/2010 0:00:00
644,"Kubriwat","GRN / ROD","BM",4/1/2010 0:00:00
644,"Kwanga","GRN / ROD","BM",4/1/2010 0:00:00
644,"Sambis","GRN / ROD","BM",4/1/2010 0:00:00
644,"Womsak","GRN / ROD","BM",4/1/2010 0:00:00
644,"Yubanakor","GRN / ROD","BM",4/1/2010 0:00:00
646,"Doumori","GRN / ROD","BM",4/1/2010 0:00:00
647,"Nide","GRN / ROD","BM",4/1/2010 0:00:00
648,"Inakona","GRN / ROD","BM",4/1/2010 0:00:00
649,"Lau","GRN / ROD","BM",4/1/2010 0:00:00
649,"Tbele","GRN / ROD","BM",4/1/2010 0:00:00
652,"Delena","GRN / ROD","BM",4/1/2010 0:00:00
657,"Nisa","GRN / ROD","BM",4/1/2010 0:00:00
660,"Korku","GRN / ROD","BM",4/1/2010 0:00:00
662,"Ayoreo","GRN / ROD","BM",4/1/2010 0:00:00
662,"Ayure","GRN / ROD","BM",4/1/2010 0:00:00
662,"Ayureo","GRN / ROD","BM",4/1/2010 0:00:00
663,"Kashmiri","GRN / ROD","BM",4/1/2010 0:00:00
665,"Astori","GRN / ROD","BM",4/1/2010 0:00:00
665,"Dras","GRN / ROD","BM",4/1/2010 0:00:00
665,"Kharmangi","GRN / ROD","BM",4/1/2010 0:00:00
665,"Satpara","GRN / ROD","BM",4/1/2010 0:00:00
666,"Azad Kashmiri","GRN / ROD","BM",4/1/2010 0:00:00
667,"Gondi, North","GRN / ROD","BM",4/1/2010 0:00:00
667,"Gondwana","GRN / ROD","BM",4/1/2010 0:00:00
673,"Khumbu","GRN / ROD","BM",4/1/2010 0:00:00
673,"Namche Bazar","GRN / ROD","BM",4/1/2010 0:00:00
673,"Sherpa","GRN / ROD","BM",4/1/2010 0:00:00
673,"Solu Khumbu","GRN / ROD","BM",4/1/2010 0:00:00
673,"Solu-khumba/namche Baz","GRN / ROD","BM",4/1/2010 0:00:00
673,"Solukhumbu","GRN / ROD","BM",4/1/2010 0:00:00
673,"Solu-khumbu","GRN / ROD","BM",4/1/2010 0:00:00
676,"Bahasa Jawa","GRN / ROD","BM",4/1/2010 0:00:00
676,"Javanese","GRN / ROD","BM",4/1/2010 0:00:00
680,"Hanoi","GRN / ROD","BM",4/1/2010 0:00:00
680,"Tonkin","GRN / ROD","BM",4/1/2010 0:00:00
680,"Tonkinese","GRN / ROD","BM",4/1/2010 0:00:00
683,"Saingya","GRN / ROD","BM",4/1/2010 0:00:00
683,"Sutiya","GRN / ROD","BM",4/1/2010 0:00:00
685,"Tea Garden Lingo","GRN / ROD","BM",4/1/2010 0:00:00
690,"Domme","GRN / ROD","BM",4/1/2010 0:00:00
690,"Hsifan","GRN / ROD","BM",4/1/2010 0:00:00
690,"Tibetian","GRN / ROD","BM",4/1/2010 0:00:00
691,"Muslim Sindhi","GRN / ROD","BM",4/1/2010 0:00:00
