"PeopleID3","PeopName","Pronunciation","PeopNameSpanish","PeopNameGerman","PeopNamePortuguese","PeopNameFrench","PeopNameIndonesian","PeopNameThai","PeopNameHindi","ROP3_31Dec2009","ROP3","PeopleID2","JPScalePGACOld","JPScalePGAC","PercentChristianPGAC","PercentEvangelicalPGAC","LeastReachedPGAC","ROG3Largest","NbrCountries","PopulationPGAC","ROL3PGAC","RLG3PGAC","RaceCode","OmidCommunityName","OmidNCode","LargeSouthAsianLanguageROL3","Memo","Source","EditName","EditDate"
12424,"Kaimbe",,,,,,,,,104422,104422,290,"2.2",3,50.00,2.00,,"BR",1,1400,"por",4,"MIR39#",,,,,,"TW",10/4/2000 0:00:00
12425,"Kaimbulawa",,,,,,,,,104423,104423,153,"1.2",1,3.00,0.50,"Y","ID",1,2700,"zka",6,"MSY44s",,,,,,"TW",10/4/2000 0:00:00
12426,"Kaingang",,,,,,,,,104424,104424,290,"3.2",5,60.00,30.00,,"BR",1,35000,"kgp",1,"MIR39d",,,,,,"TW",10/4/2000 0:00:00
12427,"Kairak",,,,,,,,,104426,104426,244,"3.2",5,70.00,15.00,,"PP",1,1000,"ckr",1,"AON09b",,,,,,"TW",10/4/2000 0:00:00
12428,"Kairi",,,,,,,,,104427,104427,244,"3.2",5,95.00,26.00,,"PP",1,2300,"klq",1,"AON09b",,,,,,"TW",10/4/2000 0:00:00
12429,"Kairiru",,,,,,,,,104428,104428,244,"3.2",5,95.00,11.00,,"PP",1,4800,"kxa",1,"AON09b",,,,,,"TW",10/4/2000 0:00:00
12430,"Kairui-Midik",,,,,,,,,104430,104430,305,"2.2",2,92.00,2.00,,"TT",1,16000,"krd",1,"AON10e",,,,,,"TW",10/4/2000 0:00:00
12431,"Kaivi",,,,,,,,,104431,104431,140,"3.2",5,55.00,18.00,,"NI",1,3800,"kce",1,"NAB56b",,,,,,"TW",10/4/2000 0:00:00
12432,"Kaiwa",,,,,,,,,104432,104432,179,"3.2",5,60.16,35.00,,"BR",2,35600,"kgk",1,"MIR39e",,,,,,"TW",10/4/2000 0:00:00
12433,"Kaiwai",,,,,,,,,104433,104433,244,"3.1",4,30.00,3.00,,"ID",1,1000,"kwh",6,"AON09e",,,,,,"TW",10/4/2000 0:00:00
